"Repository","Type","Commits","Additions","Deletions","Net"
"Backend","chore","3","8515","25","8490"
"Backend","feat","10","16858","268","16590"
"Frontend","chore","1","8293","0","8293"
"Frontend","feat","8","19086","965","18121"
"Frontend","fix","1","4926","74","4852"
