"Repository","Commit","Date","Month","Category","Language","Path","Additions","Deletions","Net"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","docs/10_AI_CODING_RULES.md","396","0","396"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","552","0","552"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","1479","0","1479"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","README.md","31","0","31"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","scripts/linux/README.md","19","0","19"
"Backend","361dfd1","2026-07-02","2026-07","Script","PowerShell","scripts/windows/check-repo.ps1","174","0","174"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/01_PROJECT_OVERVIEW.md","149","0","149"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/02_REQUIREMENT_SCOPE.md","337","0","337"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/03_TECH_STACK.md","169","0","169"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/04_BACKEND_ARCHITECTURE.md","374","0","374"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/05_DATABASE_SCHEMA.md","724","0","724"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/06_API_SPEC.md","734","0","734"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/07_AUTH_SECURITY.md","350","0","350"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/08_ALGORITHM_INTEGRATION.md","389","0","389"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/09_DEPLOYMENT_GUIDE.md","17","0","17"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/10_AI_CODING_RULES.md","2","0","2"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","50","0","50"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","19","0","19"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","README.md","29","0","29"
"Backend","5db2a76","2026-07-02","2026-07","Script","Shell","scripts/linux/check-backend.sh","8","0","8"
"Backend","5db2a76","2026-07-02","2026-07","Documentation","Markdown","scripts/linux/README.md","16","0","16"
"Backend","5db2a76","2026-07-02","2026-07","Script","Shell","scripts/linux/run-backend.sh","9","0","9"
"Backend","5db2a76","2026-07-02","2026-07","SqlMapper","SQL","scripts/sql/reset-dev.sql","3","0","3"
"Backend","5db2a76","2026-07-02","2026-07","SqlMapper","SQL","scripts/sql/schema.sql","371","0","371"
"Backend","5db2a76","2026-07-02","2026-07","SqlMapper","SQL","scripts/sql/seed.sql","88","0","88"
"Backend","5db2a76","2026-07-02","2026-07","Script","PowerShell","scripts/windows/check-t02.ps1","181","0","181"
"Backend","5db2a76","2026-07-02","2026-07","Script","PowerShell","scripts/windows/reset-dev-db.ps1","111","0","111"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/api/HealthController.java","50","1","49"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/TraceIdFilter.java","39","0","39"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/TraceIdHolder.java","28","0","28"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/enums/ErrorCode.java","31","0","31"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/exception/BusinessException.java","22","0","22"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/exception/GlobalExceptionHandler.java","54","0","54"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/result/PageResult.java","68","0","68"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/result/Result.java","11","2","9"
"Backend","5db2a76","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/SouthStandApplication.java","3","4","-1"
"Backend","5db2a76","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application.yml","20","0","20"
